              ip-1797  [001] .L.1.    26.580191: funcgraph_entry:                   |  inet6addr_event() {
              ip-1797  [001] .L.1.    26.580192: funcgraph_entry:                   |    addr_event.isra.0() {
              ip-1797  [001] .L.1.    26.580192: funcgraph_entry:        0.610 us   |      __kmalloc_cache_noprof(); (ret=0xffff8c6fccd9c000)
              ip-1797  [001] .L.1.    26.580193: funcgraph_entry:                   |      queue_work_on() {
              ip-1797  [001] dL.1.    26.580193: funcgraph_entry:        0.210 us   |        clear_pending_if_disabled(); (ret=0x0)
              ip-1797  [001] dL.1.    26.580194: funcgraph_entry:                   |        __queue_work() {
              ip-1797  [001] dL.1.    26.580194: funcgraph_entry:        0.210 us   |          __rcu_read_lock(); (ret=0x0)
              ip-1797  [001] dL.1.    26.580195: funcgraph_entry:        0.300 us   |          _raw_spin_lock(); (ret=0x0)
              ip-1797  [001] dL.2.    26.580196: funcgraph_entry:        0.300 us   |          pwq_tryinc_nr_active(); (ret=0x1)
              ip-1797  [001] dL.2.    26.580196: funcgraph_entry:        0.540 us   |          kick_pool_pick(); (ret=0x1)
              ip-1797  [001] dL.2.    26.580197: funcgraph_entry:        0.230 us   |          _raw_spin_unlock(); (ret=0x0)
              ip-1797  [001] dL.1.    26.580197: funcgraph_entry:                   |          wake_up_process() {
              ip-1797  [001] dL.1.    26.580198: funcgraph_entry:                   |            try_to_wake_up() {
              ip-1797  [001] dL.2.    26.580198: funcgraph_entry:        0.290 us   |              _raw_spin_lock_irqsave(); (ret=0x82)
              ip-1797  [001] dL.3.    26.580199: funcgraph_entry:                   |              select_task_rq_fair() {
              ip-1797  [001] dL.3.    26.580199: funcgraph_entry:        0.230 us   |                choose_idle_cpu(); (ret=0x0)
              ip-1797  [001] dL.3.    26.580199: funcgraph_exit:         0.760 us   |              } (ret=0x1)
              ip-1797  [001] dL.3.    26.580200: funcgraph_entry:        0.390 us   |              kthread_is_per_cpu(); (ret=0x0)
              ip-1797  [001] dL.3.    26.580200: funcgraph_entry:                   |              ttwu_queue_wakelist() {
              ip-1797  [001] dL.3.    26.580201: funcgraph_entry:        0.210 us   |                scx_allow_ttwu_queue(); (ret=0x1)
              ip-1797  [001] dL.3.    26.580201: funcgraph_exit:         0.690 us   |              } (ret=0x0)
              ip-1797  [001] dL.3.    26.580201: funcgraph_entry:                   |              raw_spin_rq_lock_nested.constprop.0() {
              ip-1797  [001] dL.4.    26.580201: funcgraph_entry:        0.210 us   |                _raw_spin_lock(); (ret=0x0)
              ip-1797  [001] dL.4.    26.580202: funcgraph_exit:         0.660 us   |              } (ret=0x0)
              ip-1797  [001] dL.4.    26.580202: funcgraph_entry:                   |              update_rq_clock() {
              ip-1797  [001] dL.4.    26.580202: funcgraph_entry:        0.210 us   |                arch_scale_cpu_capacity(); (ret=0x400)
              ip-1797  [001] dL.4.    26.580203: funcgraph_exit:         0.720 us   |              } (ret=0x0)
              ip-1797  [001] dL.4.    26.580203: funcgraph_entry:                   |              ttwu_do_activate() {
              ip-1797  [001] dL.4.    26.580203: funcgraph_entry:                   |                enqueue_task() {
              ip-1797  [001] dL.4.    26.580204: funcgraph_entry:                   |                  enqueue_task_fair() {
              ip-1797  [001] dL.4.    26.580204: funcgraph_entry:                   |                    update_curr() {
              ip-1797  [001] dL.4.    26.580204: funcgraph_entry:                   |                      update_se() {
              ip-1797  [001] dL.4.    26.580204: funcgraph_entry:        0.240 us   |                        cpuacct_charge(); (ret=0x0)
              ip-1797  [001] dL.4.    26.580205: funcgraph_entry:                   |                        __cgroup_account_cputime() {
              ip-1797  [001] dL.5.    26.580205: funcgraph_entry:        0.220 us   |                          __css_rstat_updated(); (ret=0x0)
              ip-1797  [001] dL.4.    26.580206: funcgraph_exit:         0.690 us   |                        } (ret=0x0)
              ip-1797  [001] dL.4.    26.580206: funcgraph_exit:         1.660 us   |                      } (ret=0x18c90)
              ip-1797  [001] dL.4.    26.580206: funcgraph_entry:                   |                      dl_server_update() {
              ip-1797  [001] dL.4.    26.580206: funcgraph_entry:        0.220 us   |                        update_curr_dl_se(); (ret=0x0)
              ip-1797  [001] dL.4.    26.580207: funcgraph_exit:         0.680 us   |                      } (ret=0x0)
              ip-1797  [001] dL.4.    26.580207: funcgraph_entry:                   |                      resched_curr_lazy() {
              ip-1797  [001] dL.4.    26.580207: funcgraph_entry:        0.210 us   |                        __resched_curr(); (ret=0x0)
              ip-1797  [001] dL.4.    26.580208: funcgraph_exit:         0.670 us   |                      } (ret=0x0)
              ip-1797  [001] dL.4.    26.580208: funcgraph_exit:         3.980 us   |                    } (ret=0x0)
              ip-1797  [001] dL.4.    26.580208: funcgraph_entry:                   |                    update_curr() {
              ip-1797  [001] dL.4.    26.580208: funcgraph_entry:        0.220 us   |                      update_se(); (ret=0x18c90)
              ip-1797  [001] dL.4.    26.580209: funcgraph_exit:         0.680 us   |                    } (ret=0x0)
              ip-1797  [001] dL.4.    26.580209: funcgraph_entry:        0.310 us   |                    __update_load_avg_se(); (ret=0x1)
              ip-1797  [001] dL.4.    26.580210: funcgraph_entry:        0.230 us   |                    __update_load_avg_cfs_rq(); (ret=0x0)
              ip-1797  [001] dL.4.    26.580210: funcgraph_entry:        0.300 us   |                    account_llc_enqueue(); (ret=0x0)
              ip-1797  [001] dL.4.    26.580211: funcgraph_entry:        0.220 us   |                    reweight_eevdf(); (ret=0x0)
              ip-1797  [001] dL.4.    26.580211: funcgraph_entry:                   |                    place_entity() {
