              ip-1681  [001] ...1.    20.129269: funcgraph_entry:                   |  inet6addr_event() {
              ip-1681  [001] ...1.    20.129270: funcgraph_entry:                   |    addr_event.isra.0() {
              ip-1681  [001] ...1.    20.129270: funcgraph_entry:        0.700 us   |      __kmalloc_cache_noprof(); (ret=0xffff88ff81bdef80)
              ip-1681  [001] ...1.    20.129271: funcgraph_entry:                   |      queue_work_on() {
              ip-1681  [001] d..1.    20.129271: funcgraph_entry:        0.220 us   |        clear_pending_if_disabled(); (ret=0x0)
              ip-1681  [001] d..1.    20.129272: funcgraph_entry:                   |        __queue_work() {
              ip-1681  [001] d..1.    20.129272: funcgraph_entry:        0.210 us   |          __rcu_read_lock(); (ret=0x0)
              ip-1681  [001] d..1.    20.129273: funcgraph_entry:        0.290 us   |          _raw_spin_lock(); (ret=0x0)
              ip-1681  [001] d..2.    20.129273: funcgraph_entry:        0.290 us   |          pwq_tryinc_nr_active(); (ret=0x1)
              ip-1681  [001] d..2.    20.129274: funcgraph_entry:        0.410 us   |          kick_pool_pick(); (ret=0x1)
              ip-1681  [001] d..2.    20.129274: funcgraph_entry:        0.230 us   |          _raw_spin_unlock(); (ret=0x0)
              ip-1681  [001] d..1.    20.129275: funcgraph_entry:                   |          wake_up_process() {
              ip-1681  [001] d..1.    20.129275: funcgraph_entry:                   |            try_to_wake_up() {
              ip-1681  [001] d..2.    20.129275: funcgraph_entry:        0.280 us   |              _raw_spin_lock_irqsave(); (ret=0x82)
              ip-1681  [001] d..3.    20.129276: funcgraph_entry:                   |              select_task_rq_fair() {
              ip-1681  [001] d..3.    20.129276: funcgraph_entry:        0.210 us   |                choose_idle_cpu(); (ret=0x0)
              ip-1681  [001] d..3.    20.129277: funcgraph_exit:         0.740 us   |              } (ret=0x0)
              ip-1681  [001] d..3.    20.129277: funcgraph_entry:        0.360 us   |              kthread_is_per_cpu(); (ret=0x0)
              ip-1681  [001] d..3.    20.129278: funcgraph_entry:                   |              ttwu_queue_wakelist() {
              ip-1681  [001] d..3.    20.129278: funcgraph_entry:        0.200 us   |                scx_allow_ttwu_queue(); (ret=0x1)
              ip-1681  [001] d..3.    20.129278: funcgraph_entry:                   |                __smp_call_single_queue() {
              ip-1681  [001] d..3.    20.129279: funcgraph_entry:        0.210 us   |                  call_function_single_prep_ipi(); (ret=0x1)
              ip-1681  [001] d..3.    20.129279: funcgraph_entry:                   |                  native_send_call_func_single_ipi() {
              ip-1681  [001] d..3.    20.129279: funcgraph_entry:        1.280 us   |                    x2apic_send_IPI(); (ret=0x0)
              ip-1681  [001] d..3.    20.129281: funcgraph_exit:         1.790 us   |                  } (ret=0x0)
              ip-1681  [001] d..3.    20.129281: funcgraph_exit:         2.750 us   |                } (ret=0x0)
              ip-1681  [001] d..3.    20.129281: funcgraph_exit:         3.720 us   |              } (ret=0x1)
              ip-1681  [001] d..3.    20.129282: funcgraph_entry:        0.230 us   |              _raw_spin_unlock_irqrestore(); (ret=0x0)
              ip-1681  [001] d..1.    20.129282: funcgraph_exit:         7.050 us   |            } (ret=0x1)
              ip-1681  [001] d..1.    20.129282: funcgraph_exit:         7.500 us   |          } (ret=0x1)
              ip-1681  [001] d..1.    20.129283: funcgraph_entry:        0.220 us   |          __rcu_read_unlock(); (ret=0x0)
              ip-1681  [001] d..1.    20.129283: funcgraph_exit:       + 11.430 us  |        } (ret=0x0)
              ip-1681  [001] ...1.    20.129283: funcgraph_exit:       + 12.420 us  |      } (ret=0x1)
              ip-1681  [001] ...1.    20.129284: funcgraph_exit:       + 14.060 us  |    } (ret=0x0)
              ip-1681  [001] ...1.    20.129284: funcgraph_exit:       + 22.170 us  |  } (ret=0x0)
    kworker/u8:1-84    [000] ...1.    20.129302: funcgraph_entry:                   |  update_gid_event_work_handler() {
    kworker/u8:1-84    [000] ...1.    20.129303: funcgraph_entry:                   |    ib_enum_all_roce_netdevs() {
    kworker/u8:1-84    [000] ...1.    20.129304: funcgraph_entry:        0.500 us   |      down_read(); (ret=0x0)
    kworker/u8:1-84    [000] ...1.    20.129304: funcgraph_entry:        0.270 us   |      __rcu_read_lock(); (ret=0x0)
    kworker/u8:1-84    [000] ...1.    20.129305: funcgraph_entry:        0.290 us   |      __rcu_read_unlock(); (ret=0x0)
    kworker/u8:1-84    [000] ...1.    20.129306: funcgraph_entry:                   |      ib_enum_roce_netdev() {
    kworker/u8:1-84    [000] ...1.    20.129306: funcgraph_entry:                   |        ib_device_get_netdev() {
    kworker/u8:1-84    [000] ...1.    20.129307: funcgraph_entry:        0.270 us   |          _raw_spin_lock(); (ret=0x0)
    kworker/u8:1-84    [000] ...2.    20.129307: funcgraph_entry:        0.280 us   |          _raw_spin_unlock(); (ret=0x0)
    kworker/u8:1-84    [000] ...1.    20.129308: funcgraph_exit:         1.470 us   |        } (ret=0xffff88ff81670000)
    kworker/u8:1-84    [000] ...1.    20.129308: funcgraph_entry:                   |        is_eth_port_of_netdev_filter() {
    kworker/u8:1-84    [000] ...1.    20.129308: funcgraph_entry:                   |          is_eth_port_of_netdev_filter.part.0() {
    kworker/u8:1-84    [000] ...1.    20.129309: funcgraph_entry:        0.260 us   |            __rcu_read_lock(); (ret=0x0)
    kworker/u8:1-84    [000] ...1.    20.129309: funcgraph_entry:                   |            netdev_has_upper_dev_all_rcu() {
